,domain_name,field_name,subfield_name,name
51,Life Sciences,Immunology and Microbiology,Immunology,Role of Neutrophil Extracellular Traps in Immunity
52,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Epigenetic Modifications and Their Functional Implications
53,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Redox Signaling and Oxidative Stress
54,Social Sciences,"Business, Management and Accounting",Strategy and Management,Knowledge Management and Organizational Innovation
55,Physical Sciences,Materials Science,Biomaterials,Nanoparticle-Based Drug Delivery Systems
58,Health Sciences,Medicine,Neurology,Management and Pathophysiology of Traumatic Brain Injury
61,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,Role of Hippo Signaling Pathway in Mechanotransduction
62,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,Genomic Rearrangements and Copy Number Variations
65,Health Sciences,Medicine,Epidemiology,Inflammation and Obesity-Related Metabolic Disorders
66,Health Sciences,Medicine,Oncology,Cancer Immunotherapy
68,Social Sciences,Psychology,Social Psychology,Role of Positive Emotions in Well-Being
70,Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",Neonatal Brain Injury and Developmental Consequences
71,Life Sciences,Neuroscience,Cognitive Neuroscience,Neuronal Oscillations in Cortical Networks
72,Physical Sciences,Environmental Science,"Health, Toxicology and Mutagenesis",Endocrine Disruption by Chemical Exposure
75,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Neonatal Lung Development and Respiratory Morbidity
78,Social Sciences,"Business, Management and Accounting",Management Information Systems,Factors Influencing IT-Business Alignment and Governance
79,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Lipid Metabolism and Cardiovascular Disease
83,Physical Sciences,Materials Science,Materials Chemistry,Applications of Quantum Dots in Nanotechnology
85,Health Sciences,Medicine,Infectious Diseases,Clostridium difficile Infection and Treatment
86,Health Sciences,Medicine,Oncology,Global Cancer Incidence and Mortality Patterns
87,Social Sciences,Social Sciences,Sociology and Political Science,Social Movements and Political Conflict Analysis
88,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Enzyme Immobilization Techniques
89,Health Sciences,Medicine,Psychiatry and Mental health,Schizophrenia Research and Treatment
92,Health Sciences,Medicine,Surgery,Diagnosis and Management of Kawasaki Disease
93,Health Sciences,Medicine,Epidemiology,Management and Epidemiology of Pneumonia
94,Social Sciences,Psychology,Clinical Psychology,Emotion Regulation and Psychopathology in Children and Adolescents
95,Health Sciences,Medicine,Physiology,Mechanisms of Alzheimer's Disease
98,Health Sciences,Medicine,Physiology,Effects of Ketogenic Diet on Health
100,Health Sciences,Medicine,Epidemiology,Influenza Virus Research and Epidemiology
103,Social Sciences,Social Sciences,Sociology and Political Science,Evolution of Cooperation and Altruism in Social Systems
104,Social Sciences,Social Sciences,Sociology and Political Science,Qualitative Research Methods and Ethics
106,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Economic Burden of Cancer Treatment
107,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,DNA Nanotechnology and Bioanalytical Applications
115,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Diversity and Function of Gut Microbiome
117,Health Sciences,Medicine,Neurology,Botulinum Toxin in Neurology and Medicine
121,Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",Development and Applications of Radiopharmaceuticals
124,Health Sciences,Medicine,Psychiatry and Mental health,Attention-Deficit/Hyperactivity Disorder
126,Health Sciences,Medicine,Infectious Diseases,Prevention and Treatment of HIV/AIDS Infection
127,Health Sciences,Health Professions,General Health Professions,Salutogenesis and Sense of Coherence in Health
129,Health Sciences,Medicine,Surgery,Prevention and Management of Surgical Site Infections
130,Health Sciences,Medicine,Rehabilitation,Principles and Interventions in Stroke Rehabilitation
132,Life Sciences,Neuroscience,Cognitive Neuroscience,Neural Mechanisms of Cognitive Control and Decision Making
133,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Exosome Biology and Function in Intercellular Communication
137,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Renin-Angiotensin System in Cardiovascular Physiology and Pathology
138,Health Sciences,Medicine,Emergency Medicine,Management of Cardiac Arrest and Resuscitation
143,Health Sciences,Medicine,Epidemiology,Epidemiology and Management of Stroke
144,Health Sciences,Medicine,Neurology,Diagnosis and Management of Wernicke-Korsakoff Syndrome
145,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Diagnosis and Treatment of Heart Failure
146,Health Sciences,Medicine,Neurology,Neurological Manifestations of COVID-19 Infection
147,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Diagnosis and Treatment of Lung Cancer
150,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Impact of Maternal Mental Health on Offspring
151,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Management of Acute Myocardial Infarction
153,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,Genetics and Pathogenesis of Type 1 Diabetes
154,Health Sciences,Medicine,Nephrology,Chronic Kidney Disease and Dialysis Treatment
155,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Molecular Biology of Steroidogenesis and Disorders
158,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,Genomic Studies and Association Analyses
159,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,RNA Methylation and Modification in Gene Expression
163,Health Sciences,Health Professions,General Health Professions,Advancing Evidence-Based Practice Implementation in Healthcare
164,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Diagnosis and Treatment of Carotid Artery Disease
168,Health Sciences,Medicine,Oncology,Impact of COVID-19 on Cancer Patients and Care
171,Social Sciences,Psychology,Social Psychology,Oxytocin and Social Behavior Regulation
172,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biochemistry,Redox Environment and Cellular Metabolism
173,Life Sciences,Neuroscience,Behavioral Neuroscience,Effects of Stress on Brain Function and Health
186,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Molecular Mechanisms of Muscle Regeneration and Atrophy
187,Life Sciences,Immunology and Microbiology,Immunology,Regulatory T Cell Development and Function
189,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,Genomic Imprinting and Parental Gene Expression Control
192,Health Sciences,Medicine,Oncology,Global Trends in Colorectal Cancer Research
193,Health Sciences,Medicine,Infectious Diseases,Methicillin-Resistant Staphylococcus aureus Infections
194,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Prevention and Management of Diabetic Foot Ulcers
199,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Prion Diseases: Causes and Molecular Basis
200,Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",Mortality and Sequelae of Preterm Birth
201,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,Molecular Basis of Rett Syndrome and Related Disorders
202,Health Sciences,Medicine,Epidemiology,Epidemiology and Management of NAFLD
204,Physical Sciences,Energy,"Renewable Energy, Sustainability and the Environment",Electrocatalysis for Energy Conversion
209,Health Sciences,Medicine,Epidemiology,Role of Autophagy in Disease and Health
212,Health Sciences,Medicine,Hematology,Acute Myeloid Leukemia
213,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Ribosome Structure and Translation Mechanisms
214,Social Sciences,Social Sciences,Safety Research,Social Preferences and Economic Behavior
222,Physical Sciences,Environmental Science,Global and Planetary Change,Global Amphibian Declines and Extinctions
223,Social Sciences,Psychology,Experimental and Cognitive Psychology,The Study of Creativity and Innovation
226,Health Sciences,Medicine,Epidemiology,Epidemiology and Impact of Traumatic Brain Injury
231,Health Sciences,Medicine,Infectious Diseases,Diagnosis and Management of Fungal Infections
239,Health Sciences,Medicine,Oncology,Melanoma
242,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Global Surgery and Health Development
243,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Impact of Hyperglycemia on Health Outcomes
244,Social Sciences,"Business, Management and Accounting",Marketing,Understanding Consumer Behavior in Retail Environments
248,Health Sciences,Medicine,Surgery,Management and Treatment of Peripheral Arterial Disease
250,Health Sciences,Medicine,Neurology,Amyotrophic Lateral Sclerosis and Frontotemporal Dementia
255,Health Sciences,Medicine,Psychiatry and Mental health,Diagnosis and Management of Alzheimer's Disease
260,Health Sciences,Medicine,Physiology,Role of Nitric Oxide in Health and Disease
268,Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",Advanced Cardiac Imaging Techniques and Diagnostics
269,Physical Sciences,Environmental Science,Global and Planetary Change,Sustainability Transitions and Resilience in Social-Ecological Systems
271,Health Sciences,Medicine,Dermatology,Management and Pathophysiology of Acne and Rosacea
274,Life Sciences,Neuroscience,Cognitive Neuroscience,Neural Mechanisms of Memory Formation and Spatial Navigation
276,Physical Sciences,Computer Science,Artificial Intelligence,Natural Language Processing
279,Health Sciences,Medicine,Oncology,Advancements in Colorectal Cancer Research
280,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Global Impact of Arboviral Diseases
287,Health Sciences,Medicine,Epidemiology,Epidemiology and Management of Skin Cancer
288,Health Sciences,Medicine,Infectious Diseases,Gastrointestinal Viral Infections and Vaccines Development
291,Life Sciences,Neuroscience,Sensory Systems,Olfactory Dysfunction in Health and Disease
297,Health Sciences,Medicine,Surgery,Cholesterol-lowering Treatment
300,Social Sciences,Psychology,Social Psychology,Evolution of Social Behavior in Primates
301,Health Sciences,Medicine,Oncology,Small Cell Lung Cancer
302,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Regulation of Chromatin Structure and Function
306,Social Sciences,"Business, Management and Accounting",Strategy and Management,Competition in Two-Sided Markets
307,Life Sciences,Neuroscience,Cellular and Molecular Neuroscience,Neurobiological Mechanisms of Drug Addiction and Depression
309,Social Sciences,Social Sciences,Sociology and Political Science,The Delphi Method in Research and Consensus Building
313,Social Sciences,Psychology,Experimental and Cognitive Psychology,The Psychology of Achievement Motivation and Learning
316,Social Sciences,Psychology,Social Psychology,Impact of Stigma on Mental Health Care
318,Health Sciences,Medicine,Oncology,Polyomavirus-Associated Carcinogenesis and Clinical Manifestations
319,Health Sciences,Medicine,Obstetrics and Gynecology,Impact of COVID-19 Infection on Pregnancy Outcomes
321,Social Sciences,Social Sciences,Education,Effective Strategies for Writing Instruction in Education
323,Social Sciences,"Economics, Econometrics and Finance",Finance,Asset Pricing and Market Efficiency
326,Social Sciences,Psychology,Clinical Psychology,Posttraumatic Stress Disorder and Human Resilience
337,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Medicine,Global Challenge of Antibiotic Resistance in Bacteria
341,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Role of Mediterranean Diet in Health Outcomes
342,Health Sciences,Medicine,Epidemiology,Epidemiology and Management of Congenital Heart Disease
343,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Management of Brain Metastases in Cancer Patients
344,Physical Sciences,Mathematics,Modeling and Simulation,Modeling the Dynamics of COVID-19 Pandemic
346,Social Sciences,Social Sciences,Political Science and International Relations,Empirical Analysis of Political Behavior and Institutions
347,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Prediction of Peptide-MHC Binding Affinity
349,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Structure and Function of the Nuclear Pore Complex
350,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Ubiquitin-Proteasome Proteolytic Pathway
352,Physical Sciences,Materials Science,Materials Chemistry,Accelerating Materials Innovation through Informatics
356,Physical Sciences,Materials Science,"Electronic, Optical and Magnetic Materials","Plasmonic Nanoparticles: Synthesis, Properties, and Applications"
358,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Molecular Mechanisms of Apoptosis and Cell Death
362,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Microarray Data Analysis and Gene Expression Profiling
363,Health Sciences,Medicine,Epidemiology,Epidemiology and Pathogenesis of Respiratory Viral Infections
371,Health Sciences,Medicine,Genetics,Genomic Aberrations and Treatment of Chronic Lymphocytic Leukemia
372,Health Sciences,Medicine,Hematology,Regulation of Iron Metabolism and Anemia
377,Social Sciences,Psychology,Social Psychology,Intersectionality in LGBTQ+ Mental Health
384,Life Sciences,Immunology and Microbiology,Microbiology,Vaginal Microbiome and Sexually Transmitted Infections
392,Social Sciences,Social Sciences,Education,Enhancing Science Education through Inquiry and Argumentation
393,Health Sciences,Medicine,Pathology and Forensic Medicine,Pathogenesis and Treatment of Alcoholic Liver Disease
394,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Health Risks and Diseases in Travelers
395,Health Sciences,Medicine,Neurology,Pathophysiology of Parkinson's Disease
397,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,Mechanisms of Estrogen Receptor Signaling
399,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Epidemiology and Management of Neonatal Sepsis
402,Life Sciences,Immunology and Microbiology,Immunology,Natural Killer Cells in Immunity
411,Physical Sciences,Chemistry,Organic Chemistry,Catalytic Carbene Chemistry in Organic Synthesis
414,Health Sciences,Medicine,Biochemistry,Effects of Blood Transfusion in Clinical Practice
415,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Management and Diagnosis of Thyroid Cancer
425,Life Sciences,Neuroscience,Neurology,Neuro-Immune Modulation via Vagus Nerve Stimulation
427,Social Sciences,"Business, Management and Accounting",Accounting,Financial Reporting and Earnings Management
428,Life Sciences,Neuroscience,Neurology,Role of Microglia in Neurological Disorders
430,Life Sciences,Immunology and Microbiology,Microbiology,Epidemiology and Pathogenesis of Bacterial Meningitis
439,Social Sciences,"Business, Management and Accounting",Business and International Management,Frugal Innovation in Emerging Markets
440,Social Sciences,"Business, Management and Accounting",Marketing,Drivers and Impacts of Green Consumer Behavior
442,Life Sciences,Immunology and Microbiology,Immunology,Innate Immune Recognition and Signaling Pathways
447,Life Sciences,Immunology and Microbiology,Immunology,Immunobiology of Dendritic Cells
451,Health Sciences,Medicine,Pathology and Forensic Medicine,Lymphoid Neoplasms
452,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Real-Time Polymerase Chain Reaction
453,Social Sciences,Social Sciences,Health,Factors Affecting Vaccine Hesitancy and Acceptance
456,Physical Sciences,Computer Science,Artificial Intelligence,Privacy-Preserving Techniques for Data Analysis and Machine Learning
457,Social Sciences,"Business, Management and Accounting",Management of Technology and Innovation,Collaborative Networks in Manufacturing and Organizations
459,Life Sciences,Neuroscience,Neurology,Effects of Brain Stimulation on Motor Cortex
461,Health Sciences,Medicine,Genetics,Genetic and Clinical Aspects of Hemoglobin Disorders
463,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Role of Transcription Factors in Cell Regulation
472,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Molecular Mechanisms of Osteoclast Differentiation and Bone Remodeling
474,Health Sciences,Medicine,Infectious Diseases,Infection Control in Healthcare Settings
477,Social Sciences,Social Sciences,Health,Impact of Social Factors on Health Outcomes
480,Health Sciences,Medicine,Rheumatology,Diagnosis and Management of IgG4-Related Disease
481,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Gender Bias in Biomedical Research
482,Health Sciences,Medicine,Physiology,Tuberous Sclerosis Complex and Related Disorders
483,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,Hemoglobin Function and Regulation in Vertebrates
488,Health Sciences,Health Professions,General Health Professions,Impact of Health Literacy on Health Outcomes
496,Social Sciences,"Business, Management and Accounting",Management Information Systems,Developing Evidence-Informed Supply Chain Management Knowledge
499,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Impact of Fructose on Metabolic Health
500,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Targeted Protein Degradation in Biomedical Research
502,Physical Sciences,Materials Science,Materials Chemistry,Structural and Functional Study of Noble Metal Nanoclusters
503,Health Sciences,Health Professions,General Health Professions,Health Effects of Precarious Employment and Unemployment
508,Physical Sciences,Mathematics,Mathematical Physics,Spectral Theory of Differential Operators
518,Social Sciences,Psychology,Developmental and Educational Psychology,Development of Narrative Identity in Emerging Adulthood
519,Health Sciences,Medicine,Genetics,Multipotent Mesenchymal Stem Cells
521,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Malaria
522,Social Sciences,Psychology,Clinical Psychology,Therapeutic Alliance in Psychotherapy
524,Health Sciences,Medicine,Internal Medicine,Prevention and Treatment of Venous Thromboembolism
527,Health Sciences,Medicine,Epidemiology,Epidemiology and Implications of Multimorbidity in Healthcare
528,Social Sciences,Social Sciences,Sociology and Political Science,Cultural Capital and Social Class in Education
531,Health Sciences,Medicine,"Radiology, Nuclear Medicine and Imaging",Diffusion Magnetic Resonance Imaging
533,Life Sciences,Immunology and Microbiology,Parasitology,Epidemiology and Molecular Characterization of Parasitic Diseases
534,Physical Sciences,Chemistry,Spectroscopy,Mass Spectrometry Techniques
543,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Management of Cardiovascular Diseases during Pregnancy
544,Health Sciences,Medicine,Hematology,Hematopoietic Stem Cell Biology
546,Social Sciences,Psychology,Developmental and Educational Psychology,Development of Theory of Mind in Children
548,Life Sciences,"Pharmacology, Toxicology and Pharmaceutics",Pharmaceutical Science,Innovations in Transdermal Drug Delivery Systems
560,Health Sciences,Medicine,Physiology,Asthma
566,Health Sciences,Medicine,Epidemiology,Epidemiology and Management of Fungal Infections
567,Social Sciences,Social Sciences,Communication,Knowledge Sharing in Virtual Communities
568,Physical Sciences,Engineering,Biomedical Engineering,Mechanical Circulatory Support Systems
570,Health Sciences,Medicine,Surgery,Clinical Studies on Coronary Stents and Revascularization
571,Health Sciences,Medicine,Nephrology,Mineral Metabolism in Chronic Kidney Disease
584,Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",Pediatric Cancer and Quality of Life
585,Health Sciences,Nursing,Nutrition and Dietetics,Composition and Health Effects of Human Milk
586,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,mTOR Signaling in Growth and Disease
587,Social Sciences,Social Sciences,Sociology and Political Science,Racial Discrimination and Health Inequities
609,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Comprehensive Integration of Single-Cell Transcriptomic Data
610,Physical Sciences,Engineering,Electrical and Electronic Engineering,Gas Sensing Technology and Materials
611,Health Sciences,Medicine,Oncology,Pancreatic Cancer Research and Treatment
612,Physical Sciences,Engineering,Biomedical Engineering,Dual-Energy Computed Tomography
623,Physical Sciences,Chemistry,Organic Chemistry,Click Chemistry in Chemical Biology and Drug Development
625,Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",Prenatal Exposure to Antiepileptic Drugs
632,Life Sciences,Immunology and Microbiology,Virology,Human Immunodeficiency Virus/Acquired Immunodeficiency Syndrome
644,Physical Sciences,Computer Science,Artificial Intelligence,Deep Learning in Medical Image Analysis
649,Life Sciences,Immunology and Microbiology,Immunology,Role of Galectins in Immunity and Disease
668,Social Sciences,Psychology,Clinical Psychology,Suicidal Behavior and Prevention Strategies
669,Social Sciences,"Economics, Econometrics and Finance","General Economics, Econometrics and Finance",Macroeconomic Analysis and Policy Implications
670,Physical Sciences,Engineering,Biomedical Engineering,Bone Tissue Engineering and Biomaterials
671,Health Sciences,Medicine,"Endocrinology, Diabetes and Metabolism",Long-Term Effects of Testosterone on Health
672,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Management and Pathophysiology of Abdominal Aortic Aneurysms
683,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research,Metabolic Reprogramming in Cancer Biology
689,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Genetics,Ciliopathies: Genetic Disorders Involving Primary Cilia
693,Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",Global Maternal and Child Health Outcomes
698,Physical Sciences,Materials Science,Materials Chemistry,Polyoxometalate Clusters and Materials
704,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Hedgehog Signaling in Development and Cancer
717,Life Sciences,Agricultural and Biological Sciences,"Ecology, Evolution, Behavior and Systematics",Adaptation to Climate Change in Agriculture
720,Health Sciences,Medicine,Biochemistry,Role of Oxidative Stress in Health and Disease
725,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Glycosylation in Health and Disease
732,Health Sciences,Medicine,Oncology,Role of Chemokine Receptors in Cancer Metastasis
733,Health Sciences,Medicine,Transplantation,Kidney Transplantation
736,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Development and Evaluation of Clinical Guidelines
737,Physical Sciences,Environmental Science,"Management, Monitoring, Policy and Law",Importance of Marine Spatial Planning in Ecosystem Management
753,Health Sciences,Medicine,Surgery,Pancreatic Islet Dysfunction and Regeneration
755,Life Sciences,Neuroscience,Cognitive Neuroscience,Neuroscience of Moral Judgment and Disgust
760,Social Sciences,Psychology,Clinical Psychology,Mindfulness and Psychological Well-being
769,Social Sciences,Psychology,Experimental and Cognitive Psychology,Sleep and Insomnia
773,Health Sciences,Medicine,Nephrology,Uric Acid in Cardiovascular and Renal Health
776,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Antiplatelet Therapy in Cardiovascular Disease
786,Health Sciences,Medicine,Infectious Diseases,Efficacy and Safety of Antiretroviral Therapy for HIV
787,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Management of Hypertension and Cardiovascular Risk Factors
797,Life Sciences,Immunology and Microbiology,Immunology,Innate Immunity to Viral Infection
800,Life Sciences,Neuroscience,Cellular and Molecular Neuroscience,Molecular Mechanisms of Neurodegenerative Diseases
809,Life Sciences,Immunology and Microbiology,Parasitology,Global Impact of Helminth Infections and Control Strategies
810,Health Sciences,Medicine,Psychiatry and Mental health,Epilepsy and Seizures
817,Life Sciences,Neuroscience,Cellular and Molecular Neuroscience,Roles of Neurotrophins in Nervous System Function
819,Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",Effects of Prenatal Alcohol Exposure on Offspring
827,Health Sciences,Medicine,Surgery,Diagnosis and Treatment of Bladder Cancer
846,Health Sciences,Nursing,Nutrition and Dietetics,Role of Vitamin C in Health and Disease
851,Health Sciences,Medicine,Psychiatry and Mental health,Feeding Disorders in Children with Autism Spectrum Disorders
855,Life Sciences,Immunology and Microbiology,Immunology,Reciprocal Development of TH17 and Treg Cells
856,Health Sciences,Medicine,Immunology and Allergy,Diagnosis and Management of Food Allergy
857,Health Sciences,Medicine,Epidemiology,"Herpesviruses: Epidemiology, Pathogenesis, and Management"
858,Social Sciences,Social Sciences,Political Science and International Relations,Politics and Economics of Welfare State
875,Life Sciences,Neuroscience,Cognitive Neuroscience,Neural Mechanisms of Language Processing
880,Physical Sciences,Engineering,Biomedical Engineering,3D Bioprinting Technology
882,Health Sciences,Medicine,"Public Health, Environmental and Occupational Health",Epidemiology and Treatment of Childhood Leukemia
884,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,Biological Activities of Prenylated Flavonoids
891,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Molecular Biology,RNA Sequencing Data Analysis
917,Health Sciences,Medicine,Psychiatry and Mental health,Epidemiology and Management of Sexual Dysfunction
921,Life Sciences,Agricultural and Biological Sciences,Food Science,Global Burden of Foodborne Pathogens
925,Social Sciences,"Business, Management and Accounting",Organizational Behavior and Human Resource Management,"Customer Relationships, Behavior, and Loyalty"
926,Health Sciences,Medicine,Epidemiology,Epidemiology and Management of Cytomegalovirus Infection
927,Social Sciences,Social Sciences,Political Science and International Relations,Evolution of East Asian Developmental States
943,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Biophysics,Advanced Techniques in Bioimage Analysis and Microscopy
944,Health Sciences,Medicine,Neurology,Management and Pathophysiology of Intracerebral Hemorrhage
952,Life Sciences,Agricultural and Biological Sciences,Plant Science,Impact of Pesticides Use in Agriculture
955,Health Sciences,Medicine,Pulmonary and Respiratory Medicine,Therapeutic Advances in Cystic Fibrosis Research
961,Health Sciences,Medicine,Critical Care and Intensive Care Medicine,Fluid Resuscitation in Trauma and Critical Care
980,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cell Biology,Endoplasmic Reticulum Stress and Unfolded Protein Response
982,Health Sciences,Medicine,Epidemiology,Epidemiology and Management of Restless Legs Syndrome
986,Life Sciences,Immunology and Microbiology,Immunology,Immunotoxin Therapy for Cancer Treatment
991,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Analysis of Electrocardiogram Signals
993,Life Sciences,"Biochemistry, Genetics and Molecular Biology",Cancer Research,MicroRNA Regulation in Cancer and Development
995,Health Sciences,Medicine,"Pediatrics, Perinatology and Child Health",Developmental Origins of Adult Health and Disease
998,Health Sciences,Medicine,Cardiology and Cardiovascular Medicine,Perioperative Cardiac Risk Assessment and Management
999,Social Sciences,"Economics, Econometrics and Finance",Economics and Econometrics,Spatial Econometrics and Spatial Data Analysis
