,bin,name,first_author,author_corresponding,counts,work_citedby
63,0,Behavioral Economics and Decision Making,4,2,6,55
64,0,Behavioral Interventions in Special Education,1,1,4,3020
65,0,Bibliometric Analysis and Research Evaluation,1,0,1,113
66,0,Bioavailability and Health Effects of Curcumin,0,1,2,722
67,0,Biochemistry of Diabetic Complications,0,0,1,82
68,0,Biodiversity Conservation and Ecosystem Management,1,1,1,67
69,0,Bioethics and Patient Rights,1,1,1,0
70,0,Biological Activities of Phenothiazines and Related Compounds,1,0,2,10
71,0,Biological Activities of Prenylated Flavonoids,0,0,2,139
72,0,Biological Agents for Bioterrorism,0,1,6,841
73,0,Biological Basis and Clinical Management of Syphilis,1,0,3,0
74,0,Biological Control of Invasive Species Management,1,0,2,15
75,0,Biological Methane Utilization and Metabolism,1,1,2,459
76,0,Biological Role of Caveolae in Cellular Processes,0,0,4,386
77,0,Biology and Pathology of Keratins and Related Disorders,2,0,2,89
78,0,Biomechanical Properties of the Cornea and Related Diseases,1,2,10,496
79,0,Biomechanics and Psychology of Dance Performance,1,1,1,0
80,0,Bisphosphonates in Cancer Treatment and Bone Health,2,1,2,26
81,0,Black Liberation Theology and Social Justice,0,0,1,3
82,0,Blind Source Separation and Independent Component Analysis,1,1,3,9
83,0,Blood-Brain Barrier and Neurovascular Interactions,0,0,3,329
84,0,Bone Tissue Engineering and Biomaterials,1,0,4,718
85,0,Bone Tumors and Tumor-like Conditions in Skeletal System,0,0,3,213
86,0,Borderline Personality Disorder: Psychopathology and Treatment,2,1,4,173
87,0,Boron Neutron Capture Therapy,1,2,7,159
88,0,Botulinum Toxin in Neurology and Medicine,0,0,1,58
89,0,Brain-Computer Interfaces in Neuroscience and Medicine,1,1,1,11
90,0,Breast Pathology and Imaging Techniques,0,0,1,28
91,0,Breast Reconstruction Techniques and Outcomes,4,1,12,1273
92,0,"Breastfeeding: Epidemiology, Mechanisms, and Health Outcomes",1,2,9,865
93,0,Brown Adipose Tissue Function and Physiology,1,1,5,43
94,0,Calcineurin-NFAT Signaling in Transcriptional Regulation,1,3,10,448
95,0,Cancer Stem Cells and Tumor Metastasis,0,0,5,152
96,0,Cancer Survivorship and Quality of Life,2,0,4,139
97,0,Cancer of Unknown Primary Site,0,0,1,13
98,0,Canon Law and Religious Studies,1,1,1,2
99,0,Cardiac Rehabilitation and Cardiovascular Health Interventions,5,2,12,1378
100,0,Cardiac Resynchronization Therapy in Heart Failure,8,2,69,2074
101,0,Cardiac Surgery and Bypass Grafting Outcomes,5,2,16,2406
102,0,Catalytic C-H Amination Reactions,0,0,6,128
103,0,Catalytic Carbene Chemistry in Organic Synthesis,1,0,1,0
104,0,Catalytic Conversion of Biomass to Fuels and Chemicals,1,1,1,0
105,0,Catalytic Dehydrogenation of Light Alkanes,1,0,3,120
106,0,Catalytic Nanomaterials,0,0,1,29
107,0,Catalytic Oxidation of Alcohols,0,0,4,20
108,0,Cataract Surgery Techniques and Complications,1,2,3,31
109,0,Catheter Ablation of Cardiac Arrhythmias,3,1,6,128
110,0,Cell Mechanics and Extracellular Matrix Interactions,3,1,8,1016
111,0,Cellular Response to Osmotic Stress and Metabolism,1,0,1,15
112,0,Cellular Senescence and Aging-Related Diseases,1,0,3,215
113,0,Cerebellar Contributions to Neurological Disorders and Functions,5,2,9,491
114,0,Cerebrospinal Fluid Disorders and Hematomas,0,0,3,4
115,0,Challenges and Innovations in Bioinformatics Education,4,4,4,4
116,0,Challenges and Opportunities in Translational Research,4,0,4,36
117,0,Challenges and Solutions in Rural Health Workforce,0,0,1,6
118,0,Challenges in Understanding and Treating Leprosy,0,0,1,2
119,0,Changing Geographies of Religion in Modernity,1,1,1,3
120,0,Characterization of Chaotic Quantum Dynamics and Structures,1,0,1,1
121,0,Characterization of Surface Roughness in Optical Components,1,1,1,7
122,0,Chemical Composition and Bioactivity of Maple Syrup,1,1,1,2
123,0,Chemical Glycobiology and Therapeutic Applications,2,2,8,227
124,0,Chemistry and Pharmacology of Quinazoline Compounds,0,0,1,18
125,0,Chemistry of Actinide and Lanthanide Elements,2,0,7,332
126,0,Chemotherapy-Induced Peripheral Neuropathy in Cancer Treatment,4,2,13,1056
127,0,Child Abuse and Traumatic Brain Injury,0,0,2,18
128,0,Child Welfare and Foster Care System,0,0,1,29
129,0,Chimeric Antigen Receptor T Cell Therapy,3,1,5,12
130,0,Chiral Separation in Chromatography,0,0,1,10
131,0,Cholangiocarcinoma,0,0,1,0
132,0,Cholesterol-lowering Treatment,13,10,20,553
133,0,Cholinesterase Inhibitors in Neurodegenerative Diseases,0,1,2,40
134,0,Chronic Kidney Disease and Dialysis Treatment,4,2,9,959
135,0,Chronic Kidney Disease and its Implications,1,1,1,0
136,0,Chronic Rhinosinusitis and Nasal Polyps,2,0,4,458
137,0,Ciliopathies: Genetic Disorders Involving Primary Cilia,3,0,4,118
138,0,Civil Rights Movement and Black Studies,1,1,1,0
139,0,Classification and Interventions for Cerebral Palsy,0,0,1,201
140,0,Classification and Treatment of Cutaneous Lymphomas,1,1,2,133
141,0,Classification and Treatment of Histiocytic Disorders,1,0,2,25
142,0,Classification and Treatment of Vascular Anomalies,1,0,1,96
143,0,Click Chemistry in Chemical Biology and Drug Development,0,0,2,111
144,0,Clinical Characteristics and Management of Sarcoidosis,0,0,2,59
145,0,Clinical Studies on Coronary Stents and Revascularization,3,1,16,1139
146,0,Clinical and Pathological Aspects of Urachal Carcinoma,1,0,2,390
147,0,Clostridium difficile Infection and Treatment,0,0,1,249
148,0,Cloud Computing and Big Data Technologies,1,1,1,1
149,0,Clustered Regularly Interspaced Short Palindromic Repeats and CRISPR-associated proteins,2,1,4,28
150,0,Cochlear Neuropathy and Hearing Loss Mechanisms,8,0,15,1291
151,0,Cognitive Mechanisms of Anxiety and Depression,0,0,2,164
152,0,Collaborative Federalism and Governance in Commonwealth Nations,1,1,1,0
153,0,Collaborative Networks in Manufacturing and Organizations,1,0,1,8
154,0,Collagen Structure and Applications,0,1,4,180
155,0,Colloidal Particles in Complex Systems,0,0,1,109
156,0,Colorectal Cancer Research and Treatment,1,0,1,8
157,0,Combinatorial Optimization and Complexity Theory,0,0,1,4
158,0,Community Resilience to Natural Disasters,2,0,2,194
159,0,Comparative Analysis of Networking Dynamics in the Middle East and Asia,1,0,1,4
160,0,Comparison of Dacryocystorhinostomy Techniques and Outcomes,0,1,2,250
161,0,Competition in Two-Sided Markets,0,0,1,21
162,0,"Competition, Collusion, and Market Structure Dynamics",0,0,13,263
163,0,Complex Analysis and Operator Theory,1,0,1,14
164,0,Complications and Techniques in Thyroid Surgery,0,0,1,66
165,0,Composition and Health Effects of Human Milk,0,1,1,92
166,0,Comprehensive Approach to School Health Promotion,0,0,1,2
167,0,Computational Methods in Drug Discovery,0,0,1,6
168,0,Computational Principles of Motor Control and Learning,1,0,2,97
169,0,Conflict Management and Negotiation Strategies,1,1,1,1
170,0,Congenital Coronary Artery Anomalies and Their Management,1,0,1,14
171,0,Connected Component Labeling Algorithms,1,0,1,27
172,0,Consequences of Mortgage Credit Expansion and Housing Market Dynamics,2,0,2,33
173,0,Constitutional Rights and Legal Theory in Latin America,1,1,1,0
174,0,Constructions of Masculinity and Men's Well-being,1,0,1,71
175,0,Contraception and Unintended Pregnancy Prevention,1,1,8,246
176,0,Contribution of Primary Care to Health Systems and Health,2,2,7,20
177,0,Coopetition in Business Networks and Innovation,1,1,2,38
178,0,Copper and Zinc in Health and Disease,0,1,7,757
179,0,Corneal Tissue Engineering and Regeneration,0,0,2,175
180,0,Coronavirus Disease 2019 Research,1,0,2,120
181,0,Corporate Governance and Financial Performance,0,1,6,142
182,0,Cosmological Parameters and Dark Energy,0,0,1,2
183,0,Criminal Procedure and Human Rights,1,0,1,3
184,0,Cryo-Electron Microscopy Techniques,3,2,5,69
185,0,Cryptography and Error-Correcting Codes,0,0,1,11
186,0,Cultivar Evaluation and Mega-Environment Investigation,1,0,1,0
187,0,Cultural Capital and Social Class in Education,1,1,1,3
188,0,Cultural Dynamics in Japan and East Asia,3,2,3,0
189,0,Cultural Psychology and Values Research,0,0,1,2
190,0,Cultural and Social Dynamics in the Caribbean Region,1,1,1,281
191,0,"Customer Relationships, Behavior, and Loyalty",7,3,9,1473
192,0,Cutaneous Adnexal Neoplasms and Related Syndromes,1,0,3,29
193,0,Cyclooxygenase-2 Inhibitors in Inflammation and Cancer,2,1,15,748
194,0,Cyclotide Bioengineering and Protein Anchoring Mechanisms,1,1,1,0
195,0,DNA Nanotechnology and Bioanalytical Applications,2,1,5,816
196,0,"DNA Topoisomerases: Structure, Function, and Inhibition",2,0,9,182
197,0,Deep Brain Stimulation for Neurological Disorders,12,3,26,7013
198,0,Design and Implementation of Management Control Systems,2,0,2,84
199,0,Detection and Handling of Multicollinearity in Regression Analysis,1,1,2,10
200,0,Detection and Management of Retinal Diseases,0,0,2,0
201,0,Determinants of Credit Risk in Financial Markets,0,0,2,36
202,0,Developing Evidence-Informed Supply Chain Management Knowledge,1,1,1,834
203,0,Development and Applications of Radiopharmaceuticals,1,0,4,252
204,0,Development of Narrative Identity in Emerging Adulthood,5,0,10,1724
205,0,Development of Superconducting Magnets for Particle Accelerators and Fusion Reactors,0,2,2,0
206,0,Development of Theory of Mind in Children,4,3,7,679
207,0,Developmental Origins of Adult Health and Disease,11,5,13,924
208,0,Developmental Pharmacology in Pediatric Drug Use,2,2,3,0
209,0,Diagnosis and Management of Adrenal Insufficiency,0,0,2,156
210,0,Diagnosis and Management of Alzheimer's Disease,3,1,10,257
211,0,Diagnosis and Management of Aortic Diseases,1,0,2,155
212,0,Diagnosis and Management of Arrhythmogenic Right Ventricular Cardiomyopathy,0,0,1,92
213,0,Diagnosis and Management of Biliary Tract Disorders,0,0,1,0
214,0,Diagnosis and Management of Cardiac Tumors,1,1,1,0
215,0,Diagnosis and Management of Celiac Disease,1,0,1,81
216,0,Diagnosis and Management of Cerebral Vein Thrombosis,2,1,3,135
217,0,Diagnosis and Management of Congenital Diaphragmatic Hernia,0,0,1,0
218,0,Diagnosis and Management of Dry Eye Disease,1,0,4,813
219,0,Diagnosis and Management of Fetal and Neonatal Tumors,0,0,1,221
220,0,Diagnosis and Management of Fungal Infections,1,0,2,27
221,0,Diagnosis and Management of Gastroesophageal Reflux Disease,4,2,10,291
222,0,Diagnosis and Management of Gastrointestinal Bleeding,1,2,4,36
223,0,Diagnosis and Management of Liver Diseases,0,0,10,721
224,0,Diagnosis and Management of Otitis Media,2,2,3,105
225,0,Diagnosis and Management of Pituitary Disorders,4,3,5,402
226,0,Diagnosis and Management of Pleural Diseases,1,0,1,66
227,0,Diagnosis and Management of Polycystic Ovary Syndrome,0,0,1,3
228,0,Diagnosis and Management of Syncope,1,1,1,23
229,0,Diagnosis and Management of Wernicke-Korsakoff Syndrome,0,0,1,1720
230,0,Diagnosis and Pathogenesis of Multiple Sclerosis,0,0,2,81
231,0,Diagnosis and Treatment of Bladder Cancer,0,0,2,30
232,0,Diagnosis and Treatment of Carotid Artery Disease,4,2,10,2098
233,0,Diagnosis and Treatment of Gastrointestinal Stromal Tumors,1,0,1,34
234,0,Diagnosis and Treatment of Heart Failure,5,1,14,881
235,0,Diagnosis and Treatment of Lung Cancer,0,0,3,250
236,0,Diagnosis and Treatment of Multiple Myeloma,5,0,17,2892
237,0,Diagnosis and Treatment of Primary Central Nervous System Lymphoma,0,1,3,247
238,0,Diagnosis and Treatment of Renal Artery Stenosis,1,0,2,6
239,0,Diagnosis and Treatment of Retinopathy of Prematurity,1,0,2,91
240,0,Diagnosis and Treatment of Spinal Infections,2,2,3,91
241,0,"Diagnosis, Treatment, and Epidemiology of Nontuberculous Mycobacterial Diseases",0,0,4,152
242,0,Diagnostic Approach to Fever of Unknown Origin,1,1,2,17
243,0,Diffusion Magnetic Resonance Imaging,0,1,4,277
244,0,Digital Epidemiology and Disease Surveillance,3,1,4,35
245,0,Digital Mental Health Interventions and Efficacy,0,0,1,132
246,0,Dioxygen Activation at Metalloenzyme Active Sites,0,0,6,224
247,0,Disaster Response and Public Health Preparedness,1,1,6,76
248,0,Discrete Choice Models in Economics and Health Care,0,1,2,64
249,0,Discrete Solitons in Nonlinear Photonic Systems,0,0,1,38
250,0,Disease Transmission and Population Dynamics,1,0,1,107
251,0,Diseases Related to Blood Group Variants,4,0,11,249
252,0,Distributed Constraint Optimization Problems and Algorithms,2,0,4,90
253,0,Distributed Fault Tolerance and Consistency in Systems,2,1,4,8
254,0,Distributed Grid Computing Systems,6,6,24,271
255,0,Doctoral Education and Career Development,1,0,1,0
256,0,Drug Metabolism and Pharmacogenomics,1,1,2,24
257,0,Dual-Energy Computed Tomography,2,0,3,2
258,0,Dynamics and Pathogenesis of Cholera Bacteria,0,0,2,495
259,0,Dynamics and Stability of Thin Liquid Films,1,0,1,0
260,0,Dynamics and Transitions in Glassy Materials,3,3,4,54
261,0,Dynamics of Granular Flow Systems,0,0,1,0
262,0,Dynamics of Livestock Disease Transmission and Control,0,0,1,0
263,0,Dynamics of Synchronization in Complex Networks,0,0,5,494
264,0,Eating Disorders and Body Image Concerns,0,0,1,6
265,0,Ebola Virus Research and Outbreaks,0,0,5,574
266,0,Ecological Rewilding and Conservation Ethics,1,1,1,0
267,0,Ecology and Conservation of Marine Mammals,8,6,8,409
268,0,Ecology and Evolution of Viruses in Ecosystems,3,4,9,540
269,0,Economic Analysis of Law and Legal Systems,8,8,10,5
270,0,Economic Analysis of Retail and Marketing Strategies,5,2,9,671
271,0,Economic Burden of Cancer Treatment,0,0,3,3
272,0,Economic Development and Financial Markets in Italy,0,0,1,14
273,0,Economic Development and Inequality in Europe and Asia,2,2,2,18
274,0,Economic Impacts of Insurance Market Dynamics,0,0,2,2
275,0,Economics of Health Care Systems and Policies,15,5,25,2604
276,0,Economics of Professional Sports and Prediction Markets,1,1,2,0
277,0,Econophysics: Complexity in Financial Markets,3,1,6,117
278,0,Effective Strategies for Writing Instruction in Education,1,1,1,1073
279,0,Effectiveness of General Health Check Programs,2,0,2,49
280,0,Effects of Bariatric Surgery on Obesity and Diabetes,1,0,7,217
281,0,Effects of Blood Transfusion in Clinical Practice,0,0,2,2
282,0,Effects of Brain Stimulation on Motor Cortex,1,1,8,507
283,0,Effects of Childhood Trauma and Adversity,3,1,6,4028
284,0,Effects of Hormones on Menopausal Women's Health,10,7,16,1025
285,0,Effects of Ketogenic Diet on Health,2,2,8,4480
286,0,Effects of Laser Radiation on Ocular Health,0,0,1,17
287,0,Effects of Noise Pollution on Health and Well-being,2,0,3,9
288,0,Effects of Prenatal Alcohol Exposure on Offspring,8,3,22,890
289,0,Effects of Residential Segregation on Communities and Individuals,1,1,1,0
290,0,Effects of Stress on Brain Function and Health,18,8,51,10335
291,0,Effects of Working Memory Training on Cognitive Abilities,1,1,2,27
292,0,Efficacy and Resistance in CML Treatment,2,1,8,28
293,0,Efficacy and Safety of Antiretroviral Therapy for HIV,3,5,45,1630
294,0,Electric Discharge Pumped Lasers,5,0,16,89
295,0,Electrochemical Detection of Heavy Metal Ions,0,0,5,363
296,0,Electrospun Nanofibers in Biomedical Applications,0,0,3,179
297,0,Elicitor Signal Transduction for Metabolite Production,1,0,3,180
298,0,Emergency Department Crowding,6,5,11,174
299,0,Emerging Zoonotic Diseases and One Health Approach,0,0,1,196
300,0,Eminent Domain and Property Rights,1,1,1,0
301,0,Emotion Regulation and Psychopathology in Children and Adolescents,10,3,34,4836
302,0,Empathy Decline and Training in Medical Education,0,0,2,138
303,0,Empirical Analysis of Political Behavior and Institutions,1,0,7,353
304,0,Empowerment and Collaboration in Community Health,6,2,8,558
305,0,Endocannabinoid System and Its Effects on Health,1,0,3,724
306,0,Endocrine Disruption by Chemical Exposure,2,3,7,122
307,0,Endoscopic Skull Base Surgery Techniques,1,1,1,86
308,0,Engineering Bacteria for Cancer Treatment,0,1,2,196
309,0,Enhancing Workplace Safety Culture and Practices,0,0,1,186
310,0,Entrepreneurship and Business Innovation,1,1,1,0
311,0,Environmental History of the United States,1,1,1,0
312,0,Enzyme Immobilization Techniques,3,2,4,251
313,0,Epidemiology and Causes of Preterm Birth,0,0,1,174
314,0,Epidemiology and Impact of Traumatic Brain Injury,1,0,5,170
315,0,Epidemiology and Implications of Multimorbidity in Healthcare,1,0,3,57
316,0,Epidemiology and Interventions for Substance Use Disorders,0,0,5,61
317,0,Epidemiology and Management of Bipolar Disorder,2,2,6,689
318,0,Epidemiology and Management of Burn Wound Infections,1,1,1,0
319,0,Epidemiology and Management of Congenital Heart Disease,8,4,15,729
320,0,Epidemiology and Management of Cytomegalovirus Infection,6,1,16,227
321,0,Epidemiology and Management of Fungal Infections,0,0,4,498
322,0,Epidemiology and Management of Fungal Skin Infections,1,0,1,0
323,0,Epidemiology and Management of NAFLD,0,0,5,1335
324,0,Epidemiology and Management of Neonatal Sepsis,3,1,6,889
325,0,Epidemiology and Management of Neuroendocrine Tumors,1,0,3,63
326,0,Epidemiology and Management of Ocular Infections,1,0,2,47
327,0,Epidemiology and Management of Restless Legs Syndrome,1,1,3,483
328,0,Epidemiology and Management of Sepsis and Septic Shock,2,0,5,6364
329,0,Epidemiology and Management of Stroke,2,2,4,762
330,0,Epidemiology and Molecular Characterization of Parasitic Diseases,2,2,3,55
331,0,Epidemiology and Pathobiology of Monkeypox Virus Infection,1,0,6,1045
332,0,Epidemiology and Pathogenesis of Bacterial Meningitis,2,4,23,1714
333,0,Epidemiology and Pathogenesis of Pneumocystis Pneumonia,1,1,6,207
334,0,Epidemiology and Pathogenesis of Respiratory Viral Infections,0,0,5,353
335,0,Epidemiology and Prevention of Cardiovascular Diseases in Russia,1,0,1,5
336,0,Epidemiology and Treatment of Bone Fractures,0,1,1,3
337,0,Epidemiology and Treatment of Chagas Disease,2,1,2,4
338,0,Epidemiology and Treatment of Childhood Leukemia,2,0,16,118
339,0,Epidemiology and Treatment of Head and Neck Cancer,2,0,9,506
340,0,Epidemiology and Treatment of Microscopic Colitis,0,0,2,102
341,0,Epidemiology of Multiple Primary Cancers,0,0,1,145
342,0,"Epidemiology, Classification, and Clinical Features of Inflammatory Myopathies",0,0,1,28
343,0,"Epidemiology, Pathogenesis, and Management of Melioidosis",1,1,1,0
344,0,Epigenetic Modifications and Their Functional Implications,4,4,10,644
345,0,Epilepsy and Seizures,2,2,6,659
346,0,Ergonomics and Human Factors in Technology Use,0,0,1,255
347,0,Estimating Vehicle Fuel Consumption and Emissions,0,1,1,0
348,0,Ethical Considerations in Medical Research Participation,3,0,10,258
349,0,Ethical Considerations in Pediatric Medical Decision-Making,2,0,2,2
350,0,Ethical Implications of Neuroenhancement Technologies,1,1,1,0
351,0,Ethical and Medical Aspects of Organ Donation,2,0,2,144
352,0,Etiology and Management of Peritoneal Adhesions,1,0,2,88
353,0,European Integration and Governance Dynamics,2,1,2,136
354,0,European Union Tax Law and Policy,2,1,2,1
355,0,Evolution and Classification of Flowering Plants,0,1,1,28
356,0,Evolution and Usage of Anatomical Nomenclature,1,1,1,71
357,0,Evolution of Child Health Services in Europe,1,1,2,2
358,0,Evolution of Cooperation and Altruism in Social Systems,1,1,2,7
359,0,Evolution of East Asian Developmental States,1,0,2,637
360,0,Evolution of Legal Systems and Governance,3,3,3,3
361,0,Evolution of Social Behavior in Primates,15,11,27,2863
362,0,Evolutionary Dynamics of Genetic Adaptation and Mutation,3,1,6,1515
363,0,Evolutionary History and Diversity of Dinosaurs,0,0,1,86
364,0,Evolutionary Psychology of Human Behavior and Attraction,3,1,6,481
365,0,Exercise Physiology and Cardiovascular Health,0,0,2,18
366,0,Existence and Dynamics of Monetary Equilibrium Models,4,4,4,33
367,0,Exosome Biology and Function in Intercellular Communication,1,1,1,0
368,0,Expanding Access to Radiotherapy Globally,0,0,1,0
369,0,Expansion of Geographic Range in Processionary Moth,0,0,2,34
370,0,Exploration of Music's Sociocultural Impact,4,3,5,375
371,0,Facial Fillers and Rejuvenation Techniques,1,1,1,225
372,0,Factors Affecting Higher Education Outcomes and Experiences,1,0,1,37
373,0,Factors Affecting Student Engagement in Education,0,0,1,88
374,0,Factors Affecting Vaccine Hesitancy and Acceptance,1,2,5,55
375,0,Factors Influencing Patient Satisfaction with Healthcare,1,0,1,16
376,0,Factors Influencing Wine Tourism and Consumer Behavior,1,1,1,43
377,0,Fascism and Totalitarianism in Europe and Italy,1,1,1,0
378,0,Feeding Disorders in Children with Autism Spectrum Disorders,0,0,1,0
379,0,Fiber Reinforced Concrete in Civil Engineering,0,0,1,0
380,0,Fibroblast Growth Factor Signaling Pathway,1,0,1,41
381,0,Financial Reporting and Earnings Management,7,1,18,1602
382,0,Finite Element Methods for Fluid-Structure Interaction,0,0,1,10
383,0,Firearm Violence and Public Health,4,3,8,100
384,0,Fiscal Decentralization and Governance in Political Economy,0,0,1,3
385,0,Fluid Resuscitation in Trauma and Critical Care,3,2,5,73
386,0,Fluorescent Chemosensors for Ion Detection and Bioimaging,2,1,2,21
387,0,Food Safety and Hygiene Practices,0,0,1,21
388,0,Food Tourism and Gastronomy Research,1,1,1,0
389,0,Forensic Toxicology Methods and Analysis,2,2,6,189
390,0,Formation and Application of Food Nanoemulsions,0,0,3,212
391,0,Formation and Properties of Nanocrystals and Nanostructures,0,0,1,117
392,0,Frailty in Older Adults and Geriatric Care,2,0,6,18
393,0,Freeform Optics Design and Fabrication,2,2,2,31
394,0,Freeze Desalination for Water Treatment and Concentration,1,0,2,30
395,0,Frugal Innovation in Emerging Markets,1,1,1,61
396,0,Frustrated Lewis Pairs Chemistry,0,0,1,34
397,0,Functions and Regulation of RNA Editing by ADARs,1,0,1,2
398,0,Fuzzy Logic and Residuated Lattices,1,0,1,2
399,0,G-Quadruplex DNA Structures and Functions,1,1,4,27
400,0,Gait Analysis and Fall Prevention in Elderly,2,0,6,863
401,0,Gandhian Philosophy and Nonviolent Resistance,1,1,1,0
402,0,Gastrointestinal Viral Infections and Vaccines Development,1,0,7,1514
403,0,Gender Bias in Academic Medicine and Science,2,1,2,156
404,0,Gender Bias in Biomedical Research,2,2,2,127
405,0,Gender Imbalance in East and South Asia,4,3,4,173
406,0,Gender Inequality and Labor Force Dynamics,3,3,6,5
407,0,Gender Representation in Political Science Research,0,0,1,53
408,0,Gene Therapy Techniques and Applications,3,0,26,862
409,0,Gene Therapy for Spinal Muscular Atrophy,1,0,1,8
410,0,Genetic Architecture of Quantitative Traits,0,0,3,91
411,0,Genetic Basis of Primary Immunodeficiency Disorders,1,2,4,610
412,0,Genetic Disorders Causing Tissue Mineralization Abnormalities,0,0,4,24
413,0,Genetic Research on BRCA Mutations and Cancer Risk,0,0,1,12
414,0,Genetic and Behavioral Studies on Dog Domestication,1,1,1,24
415,0,Genetic and Clinical Aspects of Hemoglobin Disorders,4,0,25,362
416,0,Genetic and Clinical Studies of Ocular Development,0,0,1,0
417,0,Genetic and Environmental Influences on Cleft Lip and Palate,1,0,2,156
418,0,Genetic and Molecular Studies of Connective Tissue Disorders,1,0,6,198
419,0,Genetic and Pathogenic Study of Plague Bacteria,1,1,2,72
420,0,Genetic and Physiological Adaptations to High-Altitude Environments,0,0,1,34
421,0,Genetics and Development of Craniofacial Abnormalities,0,0,2,92
422,0,Genetics and Epidemiology of Plant Pathogens,5,5,5,0
423,0,Genetics and Pathogenesis of Type 1 Diabetes,2,0,5,400
424,0,Genetics and Treatment of Inflammatory Bowel Disease,0,0,1,0
425,0,Genome Evolution and Polyploidy in Plants,0,0,3,324
426,0,Genomic Aberrations and Treatment of Chronic Lymphocytic Leukemia,0,0,3,232
427,0,Genomic Expression and Function in Yeast Organism,0,0,3,111
428,0,Genomic Imprinting and Parental Gene Expression Control,1,1,1,0
429,0,Genomic Landscape of Cancer and Mutational Signatures,0,1,7,885
430,0,Genomic Selection in Plant and Animal Breeding,1,0,1,25
431,0,Genomic Signal Processing and Analysis Techniques,1,0,1,201
