,author_name,bin,domain_name,first_author,author_corresponding,counts,work_citedby,Summary_Country,Summary_Institution
146,A. Venkatachalam,6,Health Sciences,0,0,1,0,,
147,A. Verma,6,Life Sciences,0,0,1,1,,
148,A. Weller,6,Social Sciences,1,1,1,0,,
149,A. Ya. Pressman,6,Life Sciences,0,0,1,0,,
150,A.A. Quyyumi,6,Health Sciences,0,0,1,0,,
151,A.E. Gent,6,Health Sciences,1,0,1,0,,
152,A.G. Shepherd,6,Health Sciences,2,0,5,1,,
153,A.H. Kesarwala,6,Health Sciences,0,0,1,0,,
154,A.K. Yadalam,6,Health Sciences,1,0,1,0,,
155,A.M. Edwards,6,Health Sciences,0,0,1,5,,Developmental Studies Hybridoma Bank:1;
156,A.M. Esper,6,Health Sciences,0,0,4,1,,
157,A.M. Gokhale,3,Life Sciences,0,0,1,83,,
158,A.M. Gokhale,6,Health Sciences,0,1,1,0,,
159,A.M. Khan,6,Health Sciences,0,0,1,0,,
160,A.P. Mclinden,6,Health Sciences,0,0,2,0,,
161,A.P. Mclinden,6,Life Sciences,1,0,3,0,,
162,A.R.M. Ruhul Amin,1,Health Sciences,1,0,1,0,,
163,A.R.M. Ruhul Amin,2,Health Sciences,4,0,8,798,,Oglethorpe University:1;
164,A.R.M. Ruhul Amin,2,Life Sciences,2,0,4,505,,
165,A.R.M. Ruhul Amin,2,Physical Sciences,0,0,1,0,,
166,A.R.M. Ruhul Amin,3,Health Sciences,1,0,8,308,,Case Western Reserve University:1;
167,A.R.M. Ruhul Amin,3,Life Sciences,2,0,6,345,,
168,A.R.M. Ruhul Amin,3,Physical Sciences,0,0,2,140,,
169,A.R.M. Ruhul Amin,4,Health Sciences,1,0,6,110,,
170,A.R.M. Ruhul Amin,4,Life Sciences,1,1,4,59,,
171,A.R.M. Ruhul Amin,4,Physical Sciences,0,0,2,245,,
172,A.R.M. Ruhul Amin,6,Health Sciences,1,0,1,20,,Marshall University:2;
173,A.R.M. Ruhul Amin,6,Life Sciences,0,1,2,0,,
174,A.S. Camarata,3,Physical Sciences,1,0,1,0,,
175,A.S. Camarata,3,Social Sciences,1,0,1,0,,
176,A.S. Camarata,4,Health Sciences,1,0,1,6,,
177,A.S. Camarata,4,Social Sciences,1,0,1,3,,
178,A.S. Camarata,6,Physical Sciences,0,0,1,0,,
179,A.S. Gillet,6,Health Sciences,1,0,1,1,,
180,A.S. Gillet,6,Life Sciences,0,0,1,0,,
181,A.S. Lew,6,Health Sciences,1,0,1,0,,
182,AA Patel,6,Health Sciences,0,0,1,0,,
183,AI Levey,2,Health Sciences,0,0,1,0,,
184,AI Levey,6,Health Sciences,0,0,1,1,,
185,AK voss,6,Life Sciences,1,0,1,1,,
186,AKM Amirul Morshed,6,Health Sciences,0,0,1,0,,
187,AKM Nawshad Hossian,6,Health Sciences,0,0,1,1,,
188,ALICE Y.Y. CHENG,6,Health Sciences,0,0,1,0,,Children's Healthcare of Atlanta:1;
189,AMMAR A. RASHIED,6,Health Sciences,1,0,4,8,,
190,AMMAR A. RASHIED,6,Social Sciences,0,0,3,1,,
191,ASM Anisuzzaman,5,Health Sciences,1,0,2,0,,
192,ASM Anisuzzaman,5,Life Sciences,1,0,1,0,,
193,ASM Anisuzzaman,6,Health Sciences,0,0,1,0,,
194,Aadia Rana,6,Health Sciences,0,0,1,0,,University of Alabama at Birmingham:5;University of Pennsylvania:1;
195,Aakriti A. Arora,6,Health Sciences,0,0,1,1,,
196,Aaliyah Heyward,6,Life Sciences,2,0,2,0,,
197,Aamir Abbas,6,Social Sciences,0,0,1,0,,Carnegie Mellon University:3;
198,Aaron Anderson,3,Health Sciences,5,0,26,133,,Grady Memorial Hospital:3;
199,Aaron Anderson,4,Health Sciences,0,1,31,578,,"Grady Memorial Hospital:10;Neurology, Inc:1;University of Atlanta:1;"
200,Aaron Anderson,4,Life Sciences,0,0,1,0,,
201,Aaron Anderson,4,Social Sciences,0,0,1,0,,
202,Aaron Anderson,5,Health Sciences,0,0,9,66,,Grady Memorial Hospital:2;
203,Aaron Anderson,6,Health Sciences,0,0,4,15,,Grady Memorial Hospital:1;
204,Aaron Bridges,6,Health Sciences,0,0,1,0,,Yale University:1;
205,Aaron D. Weiss,2,Health Sciences,0,0,1,6,,
206,Aaron D. Weiss,3,Health Sciences,0,0,3,78,,
207,Aaron D. Weiss,4,Health Sciences,0,0,2,43,,
208,Aaron D. Weiss,5,Health Sciences,0,0,1,1,,
209,Aaron D. Weiss,6,Health Sciences,0,0,2,8,,
210,Aaron F. Struck,6,Life Sciences,0,0,1,7,,Massachusetts General Hospital:1;William S. Middleton Memorial Veterans Hospital:1;
211,Aaron G. Issac,6,Health Sciences,3,2,3,0,,
212,Aaron Grace,6,Health Sciences,1,0,1,1,,Grace (United States):1;Medical College of Wisconsin:1;
213,Aaron Issac,6,Health Sciences,1,0,4,1,,
214,Aaron Issac,6,Social Sciences,1,1,1,0,,
215,Aaron J. Siegle,6,Social Sciences,0,1,1,0,,University of Michigan–Ann Arbor:1;
216,Aaron J. Siegler,3,Health Sciences,5,2,7,151,,
217,Aaron J. Siegler,3,Social Sciences,1,0,1,4,,
218,Aaron J. Siegler,4,Health Sciences,2,2,10,377,AT:1;,Medical University of Graz:1;
219,Aaron J. Siegler,5,Health Sciences,19,20,51,2185,,National Institutes of Health:1;
220,Aaron J. Siegler,5,Physical Sciences,1,1,1,4,,
221,Aaron J. Siegler,5,Social Sciences,0,0,2,103,,
222,Aaron J. Siegler,6,Health Sciences,1,3,34,443,,Conference Board:1;
223,Aaron J. Siegler,6,Physical Sciences,0,0,5,27,,
224,Aaron J. Siegler,6,Social Sciences,2,2,6,94,,
225,Aaron Jones,6,Health Sciences,0,0,1,2,,
226,Aaron Kofman,5,Health Sciences,2,2,2,45,,National Center for Emerging and Zoonotic Infectious Diseases:1;
227,Aaron Kofman,6,Health Sciences,1,0,2,33,,Epidemic Intelligence Service:1;
228,Aaron Kofman,6,Life Sciences,1,0,1,16,,
229,Aaron L. Baggish,3,Health Sciences,0,0,1,0,,Harvard University Press:1;Massachusetts General Hospital:4;
230,Aaron L. Baggish,4,Health Sciences,0,0,3,1,,Massachusetts General Hospital:6;
231,Aaron L. Baggish,5,Health Sciences,0,0,1,0,,Massachusetts General Hospital:5;
232,Aaron L. Baggish,6,Health Sciences,0,0,5,0,CH:3;,Harvard University:1;Massachusetts General Hospital:8;University of Lausanne:3;
233,Aaron Lindeke-Myers,5,Health Sciences,1,0,2,6,,
234,Aaron Lindeke-Myers,6,Health Sciences,3,0,5,84,,Duke University:1;
235,Aaron M. Holleman,5,Health Sciences,0,0,1,18,,
236,Aaron M. Holleman,5,Life Sciences,1,0,3,102,,
237,Aaron M. Holleman,6,Health Sciences,0,0,1,0,,
238,Aaron M. Holleman,6,Life Sciences,0,0,1,0,,
239,Aaron M. Holleman,6,Physical Sciences,0,0,1,4,,
240,Aaron M. Rosado,5,Health Sciences,0,0,1,1,,
241,Aaron M. Rosado,6,Health Sciences,2,0,2,1,,The Wallace H. Coulter Department of Biomedical Engineering:2;
242,Aaron M. Samuels,6,Health Sciences,0,0,1,0,,Center for Global Health:1;Centers for Disease Control and Prevention:1;
243,Aaron M. Yeung,5,Life Sciences,0,0,1,0,,
244,Aaron M. Yeung,6,Health Sciences,1,0,2,7,AU:1;,Ophthalmology Associates (United States):1;The Royal Victorian Eye & Ear Hospital:1;
245,Aaron R. Folsom,4,Health Sciences,0,0,1,37,,Aaron Marcus and Associates:1;Twin Cities Orthopedics:1;University of Minnesota:2;
246,Aaron R. Folsom,5,Health Sciences,0,0,1,46,,Minnesota Department of Health:1;Twin Cities Orthopedics:1;University of Minnesota:9;
247,Aaron R. Folsom,6,Health Sciences,0,0,1,0,,Johns Hopkins University:1;Minnesota Department of Health:1;University of Minnesota:1;
248,Aaron R. Weiss,6,Health Sciences,0,0,1,0,,Maine Medical Center:7;
249,Aaron Scanlan,5,Health Sciences,0,0,1,33,,
250,Aaron Scanlan,6,Life Sciences,1,0,3,2,,Atlanta VA Medical Center:1;Veterans Health Administration:1;
251,Aaron T. Blanchard,5,Life Sciences,1,0,2,0,,Georgia Institute of Technology:1;The Wallace H. Coulter Department of Biomedical Engineering:8;
252,Aaron T. Blanchard,5,Physical Sciences,3,0,4,0,,Georgia Institute of Technology:1;The Wallace H. Coulter Department of Biomedical Engineering:3;
253,Aaron T. Blanchard,6,Life Sciences,1,1,1,6,,Georgia Institute of Technology:1;The Wallace H. Coulter Department of Biomedical Engineering:3;University of Michigan–Ann Arbor:1;
254,Aaron T. Blanchard,6,Physical Sciences,1,0,1,0,,The Wallace H. Coulter Department of Biomedical Engineering:4;
255,Aaron T. Bosse,5,Physical Sciences,0,0,1,70,,
256,Aaron T. Bosse,6,Physical Sciences,0,0,2,12,,
257,Aaron T. Jones,6,Health Sciences,0,0,2,6,,
258,Aaron W. Trammell,4,Health Sciences,1,1,1,21,,
259,Aaron W. Trammell,5,Health Sciences,3,2,4,45,,Atlanta VA Health Care System:1;Atlanta VA Medical Center:1;
260,Aaron W. Trammell,6,Health Sciences,2,4,15,28,,Atlanta VA Health Care System:1;Atlanta VA Medical Center:3;
261,Aaron W. Trammell,6,Life Sciences,1,0,3,0,,Atlanta VA Medical Center:1;
262,Aarthi Murugappan,6,Health Sciences,1,0,1,4,,
263,Aarti Sekhar,4,Health Sciences,0,0,3,54,,
264,Aarti Sekhar,4,Physical Sciences,0,0,1,41,,
265,Aarti Sekhar,5,Health Sciences,2,0,8,94,,Emory and Henry College:1;
266,Aarti Sekhar,5,Life Sciences,0,0,1,53,,
267,Aarti Sekhar,6,Health Sciences,0,0,7,53,,
268,Aarti Sekhar,6,Social Sciences,0,0,2,22,,
269,Aashima Singh,6,Life Sciences,0,0,1,0,IN:1;,National Institute of Immunology:1;
270,Aashis Thapa,6,Health Sciences,0,0,2,2,,
271,Aashis Thapa,6,Life Sciences,1,0,4,0,,Children's Healthcare of Atlanta:2;
272,Abbey Hafer,6,Social Sciences,0,0,1,0,,
273,Abbie Baker,6,Health Sciences,0,0,1,0,,
274,Abbie Shervinskie,6,Health Sciences,0,0,1,1,,
275,Abbie Shervinskie,6,Social Sciences,0,0,4,0,,
276,Abby Britt,6,Health Sciences,1,1,4,10,,
277,Abby Hodges,6,Health Sciences,1,0,2,10,,
278,Abby Mutic,4,Health Sciences,0,0,1,7,,
279,Abby Mutic,4,Physical Sciences,2,2,3,62,,
280,Abby Mutic,5,Health Sciences,1,1,1,0,,
281,Abby Mutic,5,Life Sciences,0,0,1,0,,
282,Abby Mutic,5,Physical Sciences,0,0,1,12,,
283,Abby Mutic,6,Health Sciences,2,1,5,50,,
284,Abby Mutic,6,Life Sciences,0,0,1,10,,
285,Abby Mutic,6,Physical Sciences,1,1,6,18,,
286,Abbyann Lynch,6,Health Sciences,0,0,1,0,,The University of Texas Southwestern Medical Center:1;
287,Abdeen Mustafa Omer,6,Health Sciences,0,0,4,0,,Durham VA Medical Center:4;
288,Abdel Babiker,6,Health Sciences,0,0,1,160,GB:6;,Medical Research Council:1;University College London:5;Vanderbilt University Medical Center:1;
289,Abdelhameed Dawood,6,Health Sciences,0,0,1,0,,
290,Abdelilah Mekhloufi,6,Life Sciences,0,0,1,2,,
291,Abdelmuhsin Abdelgadir,6,Health Sciences,0,0,1,0,,
292,Abdi Amin,6,Health Sciences,0,0,1,3,ET:1;,St. Paul's Hospital Millennium Medical College:1;
293,Abdirashid M. Shire,6,Health Sciences,0,0,1,1,,University of Minnesota:1;
294,Abdiwahab O Ali,6,Health Sciences,0,0,1,1,,University of Minnesota:1;
295,Abdl-Rawf Al-Nowaylati,6,Health Sciences,0,0,2,1,,
296,Abdul M. Oseini,6,Health Sciences,0,0,1,1,,University of Minnesota:1;
297,Abdul N. Hamood,6,Health Sciences,0,0,1,0,,
298,Abdul Rashid,6,Physical Sciences,0,0,1,0,,"Rutgers, The State University of New Jersey:1;"
299,Abdullah Hamad,6,Health Sciences,1,0,1,0,,The Ohio State University Wexner Medical Center:1;
300,Abdullah R. Chaudhary,6,Social Sciences,0,0,1,0,,
301,Abdullahi Ahmed An-Na‘im,0,Social Sciences,3,3,3,24,,
302,Abdullahi Ahmed An-Na‘im,1,Social Sciences,2,2,2,49,,
303,Abdullahi Ahmed An-Na‘im,2,Social Sciences,1,1,1,74,,
304,Abdullahi Ahmed An-Na‘im,3,Social Sciences,2,2,3,1,,
305,Abdullahi Ahmed An-Na‘im,4,Social Sciences,4,4,4,22,,
306,Abdullahi Ahmed An-Na‘im,6,Social Sciences,8,8,8,27,,
307,Abdulrahman Alwaki,5,Health Sciences,0,1,1,36,,
308,Abdulrahman Alwaki,5,Life Sciences,0,1,2,14,,
309,Abdulrahman Alwaki,6,Health Sciences,0,1,10,56,,University of Pittsburgh:1;
310,Abdulrahman Alwaki,6,Life Sciences,0,0,1,17,,
311,Abdulwahab Ewaz,6,Life Sciences,0,0,1,1,,
312,Abebe Bekele,6,Health Sciences,0,0,1,3,ET:2;,Addis Ababa University:2;
313,Abebe Gebremariam,5,Health Sciences,0,0,1,0,ET:2;,Bahir Dar University:2;
314,Abebe Gebremariam,6,Health Sciences,0,3,4,17,ET:2;,Bahir Dar University:2;Columbia University:1;
315,Abebe Gebremariam,6,Social Sciences,0,0,1,0,,
316,Abeed Sarker,5,Health Sciences,2,2,7,175,,University of Pennsylvania:1;
317,Abeed Sarker,5,Life Sciences,1,1,1,19,,
318,Abeed Sarker,5,Physical Sciences,2,1,9,77,,Georgia Institute of Technology:1;
319,Abeed Sarker,5,Social Sciences,3,4,7,172,,
320,Abeed Sarker,6,Health Sciences,6,7,23,133,,Georgia Institute of Technology:1;Woodruff Health Sciences Center:1;
321,Abeed Sarker,6,Life Sciences,0,0,3,1,,
322,Abeed Sarker,6,Physical Sciences,1,3,22,206,,Georgia Institute of Technology:1;University of Pennsylvania:1;
323,Abeed Sarker,6,Social Sciences,7,5,22,98,,Georgia Institute of Technology:2;Sigma Theta Tau International:1;
324,Abeer A. Moanna,6,Health Sciences,0,0,1,0,,Atlanta VA Health Care System:1;
325,Abeer Moanna,0,Life Sciences,1,0,1,36,,
326,Abeer Moanna,1,Health Sciences,1,1,2,33,,
327,Abeer Moanna,1,Life Sciences,0,0,1,124,,
328,Abeer Moanna,2,Health Sciences,1,0,4,346,,Atlanta Medical Center:1;
329,Abeer Moanna,3,Health Sciences,1,0,1,43,,
330,Abeer Moanna,4,Health Sciences,1,0,4,13,,Atlanta VA Medical Center:2;
331,Abeer Moanna,5,Health Sciences,0,0,4,176,,Atlanta VA Health Care System:1;Veterans Health Administration:1;
332,Abeer Moanna,6,Health Sciences,0,0,6,17,,Atlanta Medical Center:1;Atlanta VA Health Care System:2;Atlanta VA Medical Center:1;
333,Abeer Moanna,6,Social Sciences,0,0,1,5,,
334,Abeer N. AbouYabis,1,Health Sciences,4,0,4,166,,
335,Abeer N. AbouYabis,6,Health Sciences,1,0,4,23,,
336,Abel Thomas,6,Health Sciences,0,0,1,0,,The Wallace H. Coulter Department of Biomedical Engineering:1;
337,Abesh Niroula,5,Health Sciences,1,0,4,30,,
338,Abesh Niroula,6,Health Sciences,1,0,7,15,,
339,Abesh Niroula,6,Social Sciences,0,0,1,1,,
340,Abhay K. Singh,6,Health Sciences,0,0,1,0,AU:2;,Macquarie University:2;
341,Abhay Singh,6,Health Sciences,0,0,1,0,AU:1;,Macquarie University:1;
342,Abhijay Mudigonda,6,Health Sciences,0,0,1,0,,
343,Abhijit Duggal,6,Health Sciences,0,0,2,89,AU:1;,Baylor University Medical Center:1;Cleveland Clinic:25;Institute for Respiratory Health:1;
344,Abhijit Ravindran,5,Health Sciences,0,0,1,24,,The Wallace H. Coulter Department of Biomedical Engineering:1;
345,Abhijit Ravindran,6,Physical Sciences,0,0,2,2,,Georgia Institute of Technology:1;
346,Abhik Das,3,Health Sciences,0,0,1,11,GB:7;,Children's of Alabama:1;Lucile Packard Children's Hospital:1;MRC Epidemiology Unit:7;
347,Abhik Das,4,Health Sciences,0,0,2,18,,Children's Healthcare of Atlanta:1;NeuroDevelopment Center:1;RTI International:24;
348,Abhik Das,6,Health Sciences,0,0,1,0,,RTI International:25;
349,Abhilash Cheriyan,6,Health Sciences,0,0,1,0,,
350,Abhimanyu Mahajan,6,Health Sciences,1,0,1,2,,Rush University:2;Rush University Medical Center:2;University of Virginia:1;
351,Abhimanyu Mahajan,6,Social Sciences,0,0,1,5,,American Academy of Neurology:1;Rush University Medical Center:1;
352,Abhinav Dey,4,Life Sciences,4,0,9,63,,
353,Abhinav Dey,5,Life Sciences,1,0,4,37,,
354,Abhinav Dey,6,Health Sciences,1,0,1,0,,
355,Abhinav Dey,6,Life Sciences,0,0,3,11,,
356,Abhinav Goyal,1,Health Sciences,1,0,1,9,,
357,Abhinav Goyal,2,Health Sciences,2,0,8,155,,Clinical Research Institute:1;
